Date,Days,Dir,Act,Net,3D Dir,3D Act,3D Net
6/13/2025,20,0,2,2,-10,-2,-12
6/12/2025,20,-6,2,-4,-12,-4,-16
6/11/2025,20,-4,-6,-10,-8,-12,-20
6/10/2025,20,-2,0,-2,0,-14,-14
6/9/2025,20,-2,-6,-8,6,-18,-12
6/6/2025,20,4,-8,-4,8,-18,-10
6/5/2025,20,4,-4,0,6,-14,-8
6/4/2025,20,0,-6,-6,-4,-18,-22
6/3/2025,20,2,-4,-2,-6,-20,-26
6/2/2025,20,-6,-8,-14,-12,-20,-32
5/30/2025,20,-2,-8,-10,-10,-12,-22
5/29/2025,20,-4,-4,-8,-8,-2,-10
5/28/2025,20,-4,0,-4,-8,-6,-14
5/27/2025,20,0,2,2,0,-12,-12
5/26/2025,20,-4,-8,-12,0,-16,-16
5/23/2025,20,4,-6,-2,2,-14,-12
5/22/2025,20,0,-2,-2,-4,-12,-16
5/21/2025,20,-2,-6,-8,-8,-16,-24
5/20/2025,20,-2,-4,-6,-10,-12,-22
5/19/2025,20,-4,-6,-10,-10,-14,-24
5/16/2025,20,-4,-2,-6,-8,-10,-18
5/15/2025,20,-2,-6,-8,-4,-12,-16
5/14/2025,20,-2,-2,-4,6,-10,-4
5/13/2025,20,0,-4,-4,12,-14,-2
5/12/2025,20,8,-4,4,12,-16,-4
5/9/2025,20,4,-6,-2,8,-18,-10
5/8/2025,20,0,-6,-6,2,-16,-14
5/7/2025,20,4,-6,-2,0,-16,-16
5/6/2025,20,-2,-4,-6,-8,-14,-22
5/5/2025,20,-2,-6,-8,-8,-20,-28
