Date,Days,Dir,Act,Net,3D Dir,3D Act,3D Net
6/13/2025,5,-4,6,2,-8,-6,-14
6/12/2025,5,-2,-6,-8,-2,-14,-16
6/11/2025,5,-2,-6,-8,2,-14,-12
6/10/2025,5,2,-2,0,4,-14,-10
6/9/2025,5,2,-6,-4,2,-14,-12
6/6/2025,5,0,-6,-6,-4,-14,-18
6/5/2025,5,0,-2,-2,0,-6,-6
6/4/2025,5,-4,-6,-10,-4,4,0
6/3/2025,5,4,2,6,-4,8,4
6/2/2025,5,-4,8,4,-4,6,2
5/30/2025,5,-4,-2,-6,2,0,2
5/29/2025,5,4,0,4,4,-2,2
5/28/2025,5,2,2,4,-4,-6,-10
5/27/2025,5,-2,-4,-6,-10,-4,-14
5/26/2025,5,-4,-4,-8,-12,6,-6
5/23/2025,5,-4,4,0,-14,6,-8
5/22/2025,5,-4,6,2,-14,0,-14
5/21/2025,5,-6,-4,-10,-14,-12,-26
5/20/2025,5,-4,-2,-6,-10,-8,-18
5/19/2025,5,-4,-6,-10,-8,-10,-18
5/16/2025,5,-2,0,-2,0,-2,-2
5/15/2025,5,-2,-4,-6,10,-4,6
5/14/2025,5,4,2,6,12,4,16
5/13/2025,5,8,-2,6,8,-4,4
5/12/2025,5,0,4,4,0,2,2
5/9/2025,5,0,-6,-6,2,0,2
5/8/2025,5,0,4,4,-2,12,10
5/7/2025,5,2,2,4,-4,0,-4
5/6/2025,5,-4,6,2,-6,4,-2
5/5/2025,5,-2,-8,-10,2,0,2
